date,username,comment_text,is_reply,reply_to
2025-11-13T01:33:25Z,@MsIrawati-v9h,Lama lama manusia di ganti robot...tidak bermanfaat..,False,
2025-11-13T01:32:26Z,@MsIrawati-v9h,AI kalau boleh tidak usah di kembangkan di Indonesia...ada manfaatnya AI tapi dampaknya buruk,False,
2025-11-11T03:05:54Z,@edysrihermayudha6697,"AI klo kita sebagai manusia tidak memanfaatkan AI ya kita yang sebagai tenaga kerja disembelih sama AI, lu sadar gak nanti mobil motor juga bisa jadi robot. Karena AI.",False,
2025-10-31T04:09:21Z,@darmawandesign7820,"⛔AI sekarang lebih canggih... bisa menyerap iDe kita..
Tips...
1. bagi iDe anda menjadi beberapa bagian, jgn didiskusikan semua dg AI 
2. hapus conversation setelah diskusi",False,
2025-10-28T06:56:32Z,@DJOE_TOKDJOE,"Bisa gak Hacker2 jago.. menghancurkan A.I itu sendiri.. ???
Karena kalau semua sdh digerakan A.I.. hidup berasa membosankan.. 😅😅.
Sebagai contoh.. banyak video spektakuler di medsos itu kita ketahui dibuat dgn A.I.. sehingga nonton video medsos berasa membosankan, karena sdh kabur cerita/video yg benar2 hasil shooting spektakuler..
Misal banyak video dimana kucing dgn beraninya mengusir binatang buas.. 
Padahal dalam suatu video real sebenar nya.. kucing blingsatan kalau menghadapi hanya seekor cayote.",False,
2025-10-11T04:42:41Z,@mediaterang07,Bismillah tahun mai belajar ai. Hars menguasai AI minimal Mempelajari Tool nya terlebih dahulu.,False,
2025-10-09T03:18:32Z,@manajemenopenaikendari,"Terima kasih untuk Raymond Chin, Alhamdulillah tim kami sudah ngisi pelatihan Ai Offline utk UMKM, di setiap kelas kami merekomendasikan channel ini ke peserta secara langsung utk di Nonton dan Subscribe, Terima Kasih sudah bermanfaat utk tim kami di Sulawesi Tenggara.",False,
2025-09-10T02:20:03Z,@trihariani1462,"hati2 AI adalah teknologi mata satu, AI adalah dajal dan itu fitnah",False,
2025-09-08T16:34:01Z,@FutureInsightID,Keren,False,
2025-09-06T11:48:23Z,@Sobatrecomend01,substansi,False,
2025-08-26T11:24:36Z,@N0v4n,Yang mau alih job yasilahkan 😂😂😂😂. Kalau ai hanya mempermudah supaya cepat kejaan😂😂😂. Ngapain dibikin bingung 😂😂😂😂.,False,
2025-08-20T10:39:58Z,@ClipSmartt,"Video dengan judul ""Hati-Hati Pengangguran Karena AI"" membahas tentang potensi risiko kehilangan pekerjaan atau pengangguran yang diakibatkan oleh perkembangan Artificial Intelligence (AI).
​Berdasarkan judulnya, kemungkinan besar video ini mengulas poin-poin seperti:
​Pekerjaan apa saja yang rentan digantikan oleh AI.
​Dampak AI terhadap pasar kerja di masa depan.
​Cara-cara yang bisa dilakukan untuk beradaptasi, seperti meningkatkan skill baru yang tidak bisa digantikan AI.
​Singkatnya, video ini berfungsi sebagai peringatan dan panduan agar kita lebih siap menghadapi perubahan drastis di dunia kerja yang disebabkan oleh kemajuan AI.",False,
2025-08-13T00:33:03Z,@KNurShyarief,"Sebentar lagi satelit musnah, kalian bisa apa",False,
2025-08-13T00:30:29Z,@KNurShyarief,Hanya deretan kabel buatan manusia,False,
2025-08-05T01:37:45Z,@MarDi-ze9ec,Bang bagaimana belajar ai pemula .....,False,
2025-08-01T16:43:30Z,@Dermasinaga-n8c,Aku berdoa biar secepatnya Tuhan Yesus kristus datang mengosongkan bumi ini biar jgn semua manusia jadi robot ok,False,
2025-07-31T14:57:34Z,@LQbarber,2 bulan ini saya tes AI.....waduh ngeri....juga ingatannya ada diserver....lo,False,
2025-07-31T02:40:03Z,@RobertRPG888,"Dengar ulasan video ini,, saya ingat nonton film iRobot yang di aktori Will Smith.. 4 tahun lalu.. AI., program computers, sedangkan Program computers terkait dengan peretasan : Ngeri-ngeri Mantap ⭐👍",False,
2025-07-30T03:14:09Z,@MuhamadFikrian-d9i,"Saya sangat setuju dengan penggunaan Al untuk belajar, tugas yang repetitif dan mempermudah pekerjaan.",False,
2025-07-29T01:46:34Z,@EvaSurya-p9c,"Anakq punya bakat desain & gambar2 komik sempat drop karna ada AI,saya sebagai mama nya kasih semangat,jangan nyerah kalo qm takut sama kerjaan kedepan tergantikan sama AI coba dibalik,kamu yg harus masuk di dunia AI,kamu yg kerja didalam AI,jangan patah banyak caranya pasti ada caranya ayo kita belajar sama2,mama juga harus belajar soal AI kalo mama juga g belajar mamah kedepannya juga bakal mati g bisa cari makan",False,
2025-07-28T06:41:09Z,@RosaEkadewi,Keren bang... 👍👍,False,
2025-07-27T10:18:11Z,@BrianSitorus-m7y,Info pembahasan nya sangat2 detail sekali.,False,
2025-07-27T05:46:15Z,@Sabun30,Sangat bermanfaat 🎉❤,False,
2025-07-27T04:53:06Z,@Feri-q3y6z,Insyaallah jalan rezeki sudah ada yg atur🙏,False,
2025-07-27T04:46:53Z,@miloo-h-q1b,Bagus memberi pengetahuan,False,
2025-07-27T03:59:04Z,@dinaaviana497,Usaha makanan yakin masih tetap jalan kok....,False,
2025-07-23T12:51:02Z,@shafiqzainal2511,Orang yang pintar tanpa guna AI 🤖,False,
2025-07-22T16:35:29Z,@MariminMarimin-yx1iv,"Jadi gini bng, setiap yang kita bikin pakai AI itu belum tentu pasti aman juga sering ada masalah dalam program coding nya atau kosleting dibagian mesin",False,
2025-07-19T11:03:37Z,@DeboraDobo-u1k,Awas jangan belajar sampai lupa Tuhan 😊,False,
2025-07-15T06:28:04Z,@mitaamalia384,Belajar AI harus mulai dari mana ya? (Yg nanya super gaptek),False,
2025-07-02T06:13:29Z,@litatata3767,AI hanya akan menghancurkan umat manusia. Banyak manusia Kehilangan Pekerjaan karena AI,False,
2025-06-24T17:19:54Z,@ManawaManawa-l7x,Andae AI di terapkan di asn tidak ada pun bisa dijitalisasi maka yg kerja sumua AI,False,
2025-06-20T09:07:14Z,@febriandar4645,"Tidak semua pekerjaan dapat digantiin ai, seperti pertanian, peternakan dan juga pengiriman",False,
2025-06-17T01:43:48Z,@macaramazerra4299,"Pelukan hangat seorang ibu, masakan lezat yg dimasak seorang chef, gak bisa digantikan, atlet yg hebat gak terganti. IA memang hebat, tapi otak manusia yg kreatif dan berpikir lebih hebat.",False,
2025-06-15T16:38:28Z,@merryvivie4856,"Gak lah,
Ai suka nyindir2",False,
2025-06-14T17:38:51Z,@raflyprasetyo3519,"Pertanyanya 
Kenapa lu n dkk duluan yg beritahu warga indonesia soal manfaat/ancaman AI? Masa gk ada 1 orang pun pejabat pemerintah yg tau soal ini and share ke masyarakat indo, padahal mereka punya semua yg dibutuhkan untuk share vidio seperti ini? Tolong di jawab bro",False,
2025-06-14T15:08:13Z,@SidneyFachmi-s1s,"yah emang iya si kita juga berterima kasih dengan banyak masalah di Indonesia supaya kita mudah bersaing dengan yang lain 
tapi kita juga harus bisa bersaing dengan orang dari negara maju 
emang kejam si
tapi itulah faktanya
yang bodoh akan tersingkir kan",False,
2025-06-14T05:48:53Z,@r.d.a8386,"Jelek ko hasil AI nya, sepertinya walau promtnya sbagus apapun tpi base kemampuan tools nya mentok gtu2 aja, ya hasilany masih jauh bagus manual walau emg lebih ribet",False,
2025-06-11T11:34:36Z,@AisyahMei-s8k,Kuli bangunan keganti ga sama AI,False,
2025-06-10T12:24:49Z,@lokal.168,Dan fitnah akan lebi banyak dan video hoax akan lebi bnyak dengn ai ini krna bnyak video real facebook bnyak video seperti beneran bahkan ai bisa menirukan karakter dan suara manusia asli maknya bnyak orng2 kenak fitnah di Facebook ada yg injak makanan dan joget2 dan lain2 klw emak2 megang hp langsung bercahaya krna susah bedain nya😂😂😂,False,
